Country/Region,Maize_Domestic Utilization,Maize_Opening Stocks,Maize_Production,Rice_Domestic Utilization,Rice_Opening Stocks,Rice_Production,Soybean_Domestic Utilization,Soybean_Opening Stocks,Soybean_Production,Wheat_Domestic Utilization,Wheat_Opening Stocks,Wheat_Production
Argentina,23.73,9,58.5,0.56,0.12,0.83,46.64,11.9,46.2,6.4,3,17.6
Australia,0.23,0.05,0.27,0.33,0.17,0.03,0.04,0,0.04,8.21,1.68,33.34
Brazil,68,14,102.52,7.27,0.35,7.6,49.71,0.8,138.15,11.9,1.19,6.23
Canada,14.17,2.56,13.56,0.43,0.05,0,2.56,0.62,6.36,8.75,5.5,35.18
China,284.3,148.28,260.67,148.34,104.2,145.12,114.96,19.4,19.6,140.9,126.64,134.25
Egypt,17.57,1.5,7.58,4.59,0.67,4.38,4.2,0.3,0.03,21.64,2.94,9
European Union,80.2,15.78,68.25,3.12,0.37,1.75,17.76,1.5,2.63,103.72,11.32,126.69
India,29.7,2.75,31.65,101.89,35.3,124.37,13.01,0.79,12.61,102.33,25,107.86
Indonesia,23.4,1.9,22.5,36.52,6.1,34.99,3.17,0.02,0.62,9.95,1.1,0
Japan,15.45,2.15,0,7.8,3.2,7.37,3.48,0.3,0.22,6.12,1.25,0.95
Kazakhstan,0.81,0.13,0.96,0.29,0.07,0.37,0.31,0.01,0.28,6.26,3.4,14.26
Mexico,44.15,5.65,27.42,0.93,0.13,0.2,6.54,1.1,0.25,7.27,1.15,2.99
Nigeria,12.68,0.3,12.4,7.16,0.4,4.9,0.76,0.01,0.7,5.52,0.05,0.06
Philippines,8.84,0.95,8.12,14.97,2.1,12.88,0.22,0.02,0,6.04,1.4,0
Republic of Korea,11.3,0.53,0.09,3.97,0.95,3.51,1.39,0.01,0.11,3.94,1.1,0.02
Russian Federation,9.66,1.8,13.88,0.8,0.14,0.76,5.44,1.09,4.28,43.68,6.39,85.9
Saudi Arabia,3.38,0.25,0.09,1.24,0.17,0,0.76,0.01,0,3.69,2.39,0.4
South Africa,12.18,1.8,15.97,0.93,0.1,0,1.45,0.14,1.25,3.53,0.41,2.12
Thailand,6.7,0.8,4.8,13.27,6.08,21.01,3.84,0.2,0.04,3.41,1.8,0
Turkey,8.43,1.5,6.5,0.86,0.07,0.59,3.04,0.35,0.14,24.2,6.98,20.5
Ukraine,6.64,2.2,30.29,0.12,0.01,0.04,1.34,0.15,2.8,8.18,1.45,24.88
United Kingdom,2.58,0.22,0.03,0.6,0.12,0,0.79,0.3,0,13.09,2.44,9.66
United States of America,306.54,48.76,358.45,4.85,0.91,7.22,61.06,14.28,114.75,30.48,27.98,49.75
Viet Nam,16.76,0.84,4.56,22.12,3.43,27.79,1.91,0.31,0.07,3.4,0.76,0
